disease,symptoms,cures,doctor,risk level
allergy,"headache, shortness of breath, joint pain","antibiotics, rest",dermatologist,low (0.1%)
common cold,"chest pain, joint pain, headache, weight loss, blurred vision",hydration,cardiologist,high (15%)
diabetes,"chest pain, nausea, fever, blurred vision, weight loss","diet changes, rest",dermatologist,high (15%)
diabetes,"joint pain, headache, sore throat, vomiting, shortness of breath, fever",rest,dermatologist,high (20%)
diabetes,"fever, joint pain, fatigue, weight loss, vomiting","diet changes, exercise",endocrinologist,low (0.1%)
migraine,"dizziness, runny nose, skin rash, sore throat, weight loss, vomiting","diet changes, antibiotics",dermatologist,high (20%)
allergy,"fatigue, shortness of breath, nausea, weight loss, cough, fever",medications,dermatologist,low (0.5%)
allergy,"headache, blurred vision, sore throat, joint pain",rest,pulmonologist,high (15%)
allergy,"skin rash, shortness of breath, nausea",surgery,pulmonologist,low (0.5%)
allergy,"chest pain, skin rash, sore throat",hydration,pulmonologist,high (20%)
diabetes,"sore throat, runny nose, vomiting, nausea, headache, chest pain","surgery, antibiotics",pulmonologist,high (20%)
asthma,"fatigue, sore throat, nausea, vomiting",therapy,dermatologist,high (20%)
asthma,"sore throat, nausea, blurred vision, fever, skin rash",antibiotics,pulmonologist,low (0.1%)
common cold,"weight loss, dizziness, blurred vision, fatigue","hydration, exercise, medications",neurologist,high (20%)
diabetes,"fatigue, sore throat, chest pain, runny nose, cough",hydration,pulmonologist,high (20%)
common cold,"fever, skin rash, runny nose, fatigue, headache, chest pain",surgery,cardiologist,low (0.5%)
allergy,"shortness of breath, weight loss, nausea, vomiting, sore throat","therapy, surgery, hydration",pulmonologist,low (0.5%)
asthma,"nausea, fatigue, shortness of breath, headache, skin rash, runny nose","surgery, antibiotics",endocrinologist,high (15%)
asthma,"skin rash, sore throat, nausea","surgery, therapy",family doctor,high (20%)
diabetes,"joint pain, dizziness, weight loss, skin rash, nausea, fever","diet changes, antibiotics",neurologist,moderate (1%)
diabetes,"joint pain, weight loss, shortness of breath, chest pain, cough, vomiting",diet changes,dermatologist,high (20%)
migraine,"runny nose, chest pain, headache, fever, cough, dizziness","hydration, rest",neurologist,high (20%)
asthma,"nausea, runny nose, headache, joint pain, fatigue, skin rash","antibiotics, rest",cardiologist,high (20%)
diabetes,"shortness of breath, nausea, fever, skin rash, dizziness, joint pain","therapy, antibiotics",endocrinologist,high (15%)
allergy,"dizziness, headache, vomiting, runny nose","rest, therapy",pulmonologist,low (0.1%)
diabetes,"vomiting, joint pain, dizziness",hydration,dermatologist,low (0.1%)
common cold,"skin rash, dizziness, runny nose, nausea, fatigue, fever","hydration, diet changes",cardiologist,moderate (1%)
hypertension,"skin rash, vomiting, nausea, shortness of breath","diet changes, medications, rest",pulmonologist,low (0.5%)
asthma,"nausea, blurred vision, fever, fatigue, weight loss","hydration, diet changes, therapy",endocrinologist,high (20%)
obesity,"cough, shortness of breath, fever","antibiotics, exercise",cardiologist,low (0.1%)
diabetes,"shortness of breath, joint pain, fatigue, weight loss, dizziness","exercise, surgery, antibiotics",neurologist,low (0.1%)
common cold,"chest pain, fatigue, sore throat, nausea, dizziness","rest, medications, surgery",endocrinologist,high (20%)
allergy,"chest pain, cough, blurred vision, sore throat",medications,pulmonologist,low (0.5%)
migraine,"joint pain, fatigue, skin rash, vomiting, dizziness",medications,pulmonologist,moderate (1%)
hypertension,"headache, dizziness, cough, fever, vomiting",therapy,cardiologist,high (20%)
asthma,"cough, weight loss, headache, fever, fatigue, dizziness",medications,dermatologist,moderate (1%)
arthritis,"shortness of breath, weight loss, headache, cough, joint pain, runny nose","exercise, rest, diet changes",dermatologist,low (0.1%)
asthma,"runny nose, blurred vision, chest pain, joint pain, dizziness","hydration, surgery, exercise",family doctor,low (0.5%)
diabetes,"vomiting, runny nose, chest pain, dizziness, nausea",surgery,cardiologist,low (0.1%)
hypertension,"fatigue, weight loss, shortness of breath",antibiotics,family doctor,high (15%)
diabetes,"vomiting, nausea, joint pain, weight loss, fatigue, cough","hydration, exercise",neurologist,high (15%)
diabetes,"fever, headache, joint pain, skin rash","rest, exercise, medications",cardiologist,high (15%)
diabetes,"runny nose, cough, dizziness, fever, weight loss, fatigue","surgery, medications",neurologist,moderate (1%)
asthma,"fever, shortness of breath, joint pain, dizziness",surgery,family doctor,low (0.1%)
migraine,"nausea, skin rash, blurred vision, dizziness, cough, shortness of breath",hydration,pulmonologist,moderate (1%)
asthma,"chest pain, fever, weight loss, blurred vision, sore throat, vomiting","hydration, therapy, exercise",endocrinologist,low (0.5%)
obesity,"sore throat, joint pain, dizziness, vomiting, runny nose",hydration,pulmonologist,high (15%)
asthma,"dizziness, fatigue, headache, weight loss, skin rash, blurred vision","surgery, exercise, diet changes",family doctor,high (20%)
diabetes,"headache, sore throat, cough, runny nose, blurred vision, shortness of breath",medications,cardiologist,low (0.1%)
migraine,"headache, blurred vision, shortness of breath, dizziness",surgery,endocrinologist,high (20%)
diabetes,"skin rash, weight loss, sore throat, headache, fever, cough","rest, surgery, diet changes",family doctor,high (20%)
obesity,"fatigue, headache, skin rash, cough",hydration,cardiologist,low (0.1%)
allergy,"cough, weight loss, skin rash, runny nose, fever, vomiting","diet changes, exercise, medications",pulmonologist,high (20%)
diabetes,"sore throat, blurred vision, nausea, runny nose","therapy, medications",neurologist,low (0.5%)
common cold,"fever, sore throat, dizziness, shortness of breath, vomiting, blurred vision","therapy, antibiotics",pulmonologist,low (0.1%)
allergy,"vomiting, weight loss, nausea, joint pain","diet changes, therapy",cardiologist,high (15%)
hypertension,"shortness of breath, dizziness, weight loss, sore throat","rest, medications, antibiotics",cardiologist,low (0.1%)
arthritis,"vomiting, sore throat, dizziness, shortness of breath, fever, skin rash",antibiotics,dermatologist,low (0.5%)
diabetes,"fatigue, nausea, vomiting, dizziness, skin rash, cough","therapy, diet changes",endocrinologist,low (0.1%)
arthritis,"blurred vision, dizziness, fever, vomiting","surgery, medications, antibiotics",dermatologist,high (15%)
allergy,"weight loss, blurred vision, nausea","surgery, hydration, diet changes",dermatologist,low (0.5%)
common cold,"headache, fatigue, dizziness, shortness of breath, nausea","surgery, antibiotics",neurologist,high (20%)
diabetes,"fatigue, skin rash, vomiting, fever, cough, chest pain","rest, therapy, surgery",cardiologist,high (20%)
hypertension,"sore throat, fatigue, vomiting, fever, shortness of breath, runny nose","diet changes, exercise",family doctor,low (0.5%)
common cold,"fatigue, cough, dizziness","hydration, rest",neurologist,moderate (1%)
asthma,"vomiting, shortness of breath, chest pain, fever",exercise,neurologist,low (0.5%)
allergy,"fever, skin rash, weight loss, cough",surgery,dermatologist,high (20%)
hypertension,"dizziness, chest pain, fatigue, nausea","antibiotics, therapy, rest",neurologist,moderate (1%)
allergy,"skin rash, vomiting, dizziness, weight loss",exercise,dermatologist,moderate (1%)
migraine,"sore throat, dizziness, fatigue, nausea, fever",therapy,family doctor,moderate (1%)
asthma,"vomiting, skin rash, runny nose, chest pain","medications, antibiotics, surgery",cardiologist,low (0.1%)
asthma,"dizziness, cough, blurred vision, chest pain, fever, headache",therapy,neurologist,high (15%)
hypertension,"cough, fever, weight loss, dizziness, vomiting","hydration, antibiotics",endocrinologist,high (15%)
allergy,"cough, blurred vision, fever","medications, exercise",endocrinologist,high (20%)
hypertension,"sore throat, fever, chest pain, weight loss, shortness of breath","hydration, antibiotics",dermatologist,low (0.5%)
hypertension,"nausea, cough, weight loss","hydration, rest",family doctor,high (20%)
arthritis,"sore throat, chest pain, shortness of breath",antibiotics,family doctor,low (0.1%)
arthritis,"vomiting, cough, chest pain, blurred vision",diet changes,family doctor,low (0.1%)
obesity,"fever, nausea, fatigue","surgery, hydration, medications",cardiologist,moderate (1%)
allergy,"vomiting, cough, fatigue, headache, shortness of breath",therapy,pulmonologist,low (0.1%)
obesity,"vomiting, sore throat, headache, weight loss, shortness of breath, cough","antibiotics, rest, hydration",pulmonologist,high (20%)
allergy,"fever, headache, fatigue, cough, skin rash, chest pain","therapy, diet changes, hydration",dermatologist,high (15%)
diabetes,"fever, dizziness, cough, runny nose, fatigue",hydration,neurologist,low (0.1%)
obesity,"chest pain, fatigue, skin rash",surgery,pulmonologist,low (0.5%)
arthritis,"skin rash, nausea, blurred vision, joint pain, runny nose, chest pain","medications, hydration, surgery",endocrinologist,high (15%)
allergy,"dizziness, cough, vomiting, weight loss, shortness of breath","rest, surgery",family doctor,low (0.1%)
allergy,"fatigue, shortness of breath, dizziness, joint pain, chest pain, weight loss","diet changes, antibiotics, therapy",pulmonologist,high (20%)
obesity,"fatigue, cough, skin rash","exercise, therapy, diet changes",dermatologist,moderate (1%)
arthritis,"vomiting, fatigue, blurred vision","surgery, antibiotics, hydration",cardiologist,high (20%)
